Time,Intensity
0.0,0.5921593870245225
1.0,1.1618490138228812
2.0,2.6750153106428276
3.0,5.078173443781386
4.0,7.5819674521692795
5.0,10.105801665895294
6.0,11.338558558040958
7.0,10.874466530562195
8.0,10.747648077315482
9.0,10.145634675999474
10.0,9.84827963358773
11.0,9.322569441163013
12.0,9.59877286683333
13.0,9.848214346774286
14.0,9.795762467423138
15.0,10.557649253090466
16.0,9.962104123942458
17.0,10.107557440426936
18.0,9.914112026924608
19.0,10.35768495922795
20.0,10.299783981985692
21.0,10.146524352415929
22.0,9.453370364458186
23.0,10.024516778886094
24.0,10.181293390841596
25.0,10.25592735939061
26.0,9.845064151248074
27.0,10.415093418438621
28.0,9.408152531092371
29.0,8.980912823137919
30.0,8.422464142523474
31.0,7.150979755037515
32.0,6.832526078675851
33.0,5.991100287525697
34.0,5.777078000286222
35.0,6.039421972357983
36.0,6.082616879895631
37.0,6.130703868191509
38.0,6.404376220090484
39.0,5.739088584879949
40.0,4.877086968087522
41.0,3.2542064106007267
42.0,3.036341210126569
43.0,2.1635341675598103
44.0,2.642900297114149
45.0,2.3591047073610683
46.0,2.551314997650772
47.0,3.1521397300555716
48.0,3.9615500059057065
49.0,4.654940901833504
50.0,5.457807100892497
51.0,6.037414308879523
52.0,6.366088433030639
53.0,6.641966555557867
54.0,5.985729852176578
55.0,4.519840934042105
56.0,3.1013219729559687
57.0,2.7480179045422366
58.0,1.8639652135930982
59.0,2.0626165192836434
60.0,2.642775614823578
61.0,2.1625438920043907
62.0,2.9439411272299583
63.0,2.739577519199952
64.0,3.0665123089096484
65.0,3.5433728217071696
66.0,4.537340037340873
67.0,5.7168252164773286
68.0,6.188860330236701
69.0,7.150591391781354
70.0,7.001834107007535
71.0,6.8345853900269
72.0,6.685905978115851
73.0,6.450159705229505
74.0,6.437860588010447
75.0,6.297027365088084
76.0,5.993361453377756
77.0,6.366730391647718
78.0,6.222878264708314
79.0,6.04701836158735
80.0,6.444857475499052
81.0,6.220312367430102
82.0,6.098085996191109
83.0,6.1343730072674525
84.0,6.690218992409759
85.0,7.312371569582227
86.0,8.515572472312073
87.0,9.232276949536882
88.0,10.301231598893585
89.0,10.77685676779222
90.0,10.720729078960868
91.0,9.642936587362602
92.0,10.320273006835524
93.0,9.966559194667525
94.0,9.967809385488708
95.0,9.970557934418627
96.0,9.822194479146082
97.0,9.260172219209167
98.0,8.143636204038401
99.0,6.69349871142866
